DATE,USAGDPDEFQISMEI
2006-10-01,86.8011029615977
2007-01-01,87.6541936869158
2007-04-01,88.2209541086088
2007-07-01,88.6754944453086
2007-10-01,89.0281028290848
2008-01-01,89.356916398929
2008-04-01,89.8357532090175
2008-07-01,90.5051657741699
2008-10-01,90.7880232694866
2009-01-01,90.7783319641441
2009-04-01,90.6458931732394
2009-07-01,90.7415515763516
2009-10-01,91.0485229937445
2010-01-01,91.2782063808476
2010-04-01,91.7022048703251
2010-07-01,91.9692227723788
2010-10-01,92.4864843817019
2011-01-01,92.9830378451936
2011-04-01,93.5934863466563
2011-07-01,94.1974239944686
2011-10-01,94.3398973604435
2012-01-01,94.9301851373022
2012-04-01,95.3053451837726
2012-07-01,95.7949918036956
2012-10-01,96.2846855749004
2013-01-01,96.6688128459268
